,SPRADDR_ZIP_PR,Unnamed: 0,SEMESTER,IRO_INSTITUTION_DESCL,ENROLLMENT,YEAR
0,HI,2684,Fall 2014,University of Hawai`i at Manoa,53,2014
1,HI,2687,Fall 2014,University of Hawai`i at Manoa,127,2014
2,HI,2689,Fall 2014,University of Hawai`i at Manoa,6,2014
3,HI,2693,Fall 2014,University of Hawai`i at Manoa,16,2014
4,HI,2694,Fall 2014,University of Hawai`i at Manoa,15,2014
5,CA,2697,Fall 2014,University of Hawai`i at Manoa,1,2014
6,CA,2698,Fall 2014,University of Hawai`i at Manoa,1,2014
7,HI,2700,Fall 2014,University of Hawai`i at Manoa,126,2014
8,AZ,2702,Fall 2014,University of Hawai`i at Manoa,1,2014
9,CA,2703,Fall 2014,University of Hawai`i at Manoa,1,2014
10,HI,2714,Fall 2014,University of Hawai`i at Manoa,12,2014
11,CA,2715,Fall 2014,University of Hawai`i at Manoa,1,2014
12,SC,2718,Fall 2014,University of Hawai`i at Manoa,1,2014
13,HI,2721,Fall 2014,University of Hawai`i at Manoa,83,2014
14,HI,2723,Fall 2014,University of Hawai`i at Manoa,189,2014
15,CT,2725,Fall 2014,University of Hawai`i at Manoa,1,2014
17,NC,2729,Fall 2014,University of Hawai`i at Manoa,1,2014
18,HI,2730,Fall 2014,University of Hawai`i at Manoa,263,2014
19,HI,2734,Fall 2014,University of Hawai`i at Manoa,82,2014
20,HI,2735,Fall 2014,University of Hawai`i at Manoa,150,2014
21,FL,2736,Fall 2014,University of Hawai`i at Manoa,2,2014
22,CA,2738,Fall 2014,University of Hawai`i at Manoa,1,2014
23,HI,2739,Fall 2014,University of Hawai`i at Manoa,138,2014
24,HI,2740,Fall 2014,University of Hawai`i at Manoa,49,2014
25,HI,2741,Fall 2014,University of Hawai`i at Manoa,2,2014
26,HI,2742,Fall 2014,University of Hawai`i at Manoa,56,2014
27,HI,2744,Fall 2014,University of Hawai`i at Manoa,65,2014
29,HI,2748,Fall 2014,University of Hawai`i at Manoa,5,2014
30,WA,2756,Fall 2014,University of Hawai`i at Manoa,10,2014
31,HI,2758,Fall 2014,University of Hawai`i at Manoa,95,2014
32,CA,2760,Fall 2014,University of Hawai`i at Manoa,1,2014
33,HI,2761,Fall 2014,University of Hawai`i at Manoa,48,2014
34,HI,2763,Fall 2014,University of Hawai`i at Manoa,52,2014
35,AK,2771,Fall 2014,University of Hawai`i at Manoa,1,2014
36,HI,2773,Fall 2014,University of Hawai`i at Manoa,85,2014
37,HI,2775,Fall 2014,University of Hawai`i at Manoa,33,2014
38,HI,2780,Fall 2014,University of Hawai`i at Manoa,38,2014
39,CA,2785,Fall 2014,University of Hawai`i at Manoa,1,2014
40,HI,2788,Fall 2014,University of Hawai`i at Manoa,8,2014
41,OR,2789,Fall 2014,University of Hawai`i at Manoa,2,2014
42,WI,2790,Fall 2014,University of Hawai`i at Manoa,1,2014
43,HI,2796,Fall 2014,University of Hawai`i at Manoa,3,2014
44,HI,2797,Fall 2014,University of Hawai`i at Manoa,114,2014
45,OR,2798,Fall 2014,University of Hawai`i at Manoa,1,2014
46,HI,2801,Fall 2014,University of Hawai`i at Manoa,50,2014
47,HI,2803,Fall 2014,University of Hawai`i at Manoa,61,2014
48,IA,2807,Fall 2014,University of Hawai`i at Manoa,2,2014
49,CO,2808,Fall 2014,University of Hawai`i at Manoa,1,2014
50,HI,2809,Fall 2014,University of Hawai`i at Manoa,10,2014
51,CA,2815,Fall 2014,University of Hawai`i at Manoa,1,2014
52,CA,2816,Fall 2014,University of Hawai`i at Manoa,1,2014
53,CA,2817,Fall 2014,University of Hawai`i at Manoa,1,2014
54,CA,2818,Fall 2014,University of Hawai`i at Manoa,1,2014
55,NM,2819,Fall 2014,University of Hawai`i at Manoa,1,2014
56,OR,2820,Fall 2014,University of Hawai`i at Manoa,1,2014
57,CO,2821,Fall 2014,University of Hawai`i at Manoa,1,2014
58,HI,2826,Fall 2014,University of Hawai`i at Manoa,1,2014
59,CA,2830,Fall 2014,University of Hawai`i at Manoa,1,2014
60,HI,2831,Fall 2014,University of Hawai`i at Manoa,10,2014
61,CA,2833,Fall 2014,University of Hawai`i at Manoa,2,2014
62,CA,2834,Fall 2014,University of Hawai`i at Manoa,1,2014
63,HI,2836,Fall 2014,University of Hawai`i at Manoa,5,2014
64,IN,2839,Fall 2014,University of Hawai`i at Manoa,1,2014
65,HI,2842,Fall 2014,University of Hawai`i at Manoa,1,2014
66,CA,2847,Fall 2014,University of Hawai`i at Manoa,2,2014
67,PA,2850,Fall 2014,University of Hawai`i at Manoa,1,2014
68,KY,2859,Fall 2014,University of Hawai`i at Manoa,1,2014
69,CA,2860,Fall 2014,University of Hawai`i at Manoa,1,2014
70,CA,2861,Fall 2014,University of Hawai`i at Manoa,2,2014
71,CA,2864,Fall 2014,University of Hawai`i at Manoa,2,2014
72,CA,2865,Fall 2014,University of Hawai`i at Manoa,1,2014
73,HI,2866,Fall 2014,University of Hawai`i at Manoa,34,2014
74,NJ,2868,Fall 2014,University of Hawai`i at Manoa,1,2014
75,HI,2870,Fall 2014,University of Hawai`i at Manoa,6,2014
76,CA,2871,Fall 2014,University of Hawai`i at Manoa,2,2014
77,AZ,2873,Fall 2014,University of Hawai`i at Manoa,1,2014
78,HI,2874,Fall 2014,University of Hawai`i at Manoa,6,2014
79,NY,2875,Fall 2014,University of Hawai`i at Manoa,1,2014
80,NC,2877,Fall 2014,University of Hawai`i at Manoa,1,2014
81,HI,2879,Fall 2014,University of Hawai`i at Manoa,4,2014
82,HI,2881,Fall 2014,University of Hawai`i at Manoa,1,2014
83,HI,2885,Fall 2014,University of Hawai`i at Manoa,1,2014
84,HI,2886,Fall 2014,University of Hawai`i at Manoa,3,2014
85,CA,2895,Fall 2014,University of Hawai`i at Manoa,4,2014
86,HI,2896,Fall 2014,University of Hawai`i at Manoa,1,2014
87,HI,2901,Fall 2014,University of Hawai`i at Manoa,1,2014
88,HI,2904,Fall 2014,University of Hawai`i at Manoa,1,2014
89,HI,2909,Fall 2014,University of Hawai`i at Manoa,3,2014
90,HI,2910,Fall 2014,University of Hawai`i at Manoa,10,2014
91,NV,2921,Fall 2014,University of Hawai`i at Manoa,1,2014
92,TX,2922,Fall 2014,University of Hawai`i at Manoa,1,2014
93,HI,2926,Fall 2014,University of Hawai`i at Manoa,7,2014
94,HI,2927,Fall 2014,University of Hawai`i at Manoa,3,2014
95,HI,2929,Fall 2014,University of Hawai`i at Manoa,17,2014
96,WA,2930,Fall 2014,University of Hawai`i at Manoa,1,2014
97,CA,2931,Fall 2014,University of Hawai`i at Manoa,4,2014
98,HI,2932,Fall 2014,University of Hawai`i at Manoa,8,2014
99,NV,2933,Fall 2014,University of Hawai`i at Manoa,1,2014
101,HI,2948,Fall 2014,University of Hawai`i at Manoa,12,2014
102,HI,2951,Fall 2014,University of Hawai`i at Manoa,1,2014
103,HI,2953,Fall 2014,University of Hawai`i at Manoa,1,2014
104,NC,2956,Fall 2014,University of Hawai`i at Manoa,2,2014
105,DC,2961,Fall 2014,University of Hawai`i at Manoa,1,2014
106,CA,2963,Fall 2014,University of Hawai`i at Manoa,1,2014
107,UT,2972,Fall 2014,University of Hawai`i at Manoa,1,2014
108,CA,2976,Fall 2014,University of Hawai`i at Manoa,1,2014
109,OH,2979,Fall 2014,University of Hawai`i at Manoa,1,2014
110,OH,2980,Fall 2014,University of Hawai`i at Manoa,1,2014
111,HI,2981,Fall 2014,University of Hawai`i at Manoa,9,2014
112,CA,2982,Fall 2014,University of Hawai`i at Manoa,1,2014
113,MA,2984,Fall 2014,University of Hawai`i at Manoa,2,2014
114,FL,2985,Fall 2014,University of Hawai`i at Manoa,1,2014
115,HI,2986,Fall 2014,University of Hawai`i at Manoa,15,2014
116,WA,2991,Fall 2014,University of Hawai`i at Manoa,1,2014
117,SC,2992,Fall 2014,University of Hawai`i at Manoa,1,2014
118,CA,2994,Fall 2014,University of Hawai`i at Manoa,3,2014
119,CA,2996,Fall 2014,University of Hawai`i at Manoa,3,2014
120,MA,2997,Fall 2014,University of Hawai`i at Manoa,1,2014
121,CA,3002,Fall 2014,University of Hawai`i at Manoa,1,2014
122,ID,3003,Fall 2014,University of Hawai`i at Manoa,2,2014
123,CA,3004,Fall 2014,University of Hawai`i at Manoa,1,2014
124,CA,3006,Fall 2014,University of Hawai`i at Manoa,1,2014
125,WA,3007,Fall 2014,University of Hawai`i at Manoa,1,2014
126,WA,3009,Fall 2014,University of Hawai`i at Manoa,1,2014
127,NJ,3010,Fall 2014,University of Hawai`i at Manoa,1,2014
128,CA,3011,Fall 2014,University of Hawai`i at Manoa,1,2014
129,CO,3013,Fall 2014,University of Hawai`i at Manoa,1,2014
130,ID,3015,Fall 2014,University of Hawai`i at Manoa,2,2014
131,CA,3016,Fall 2014,University of Hawai`i at Manoa,3,2014
132,HI,3026,Fall 2014,University of Hawai`i at Manoa,6,2014
133,CO,3030,Fall 2014,University of Hawai`i at Manoa,3,2014
134,OH,3031,Fall 2014,University of Hawai`i at Manoa,1,2014
135,HI,3035,Fall 2014,University of Hawai`i at Manoa,3,2014
136,HI,3036,Fall 2014,University of Hawai`i at Manoa,2,2014
137,CA,3039,Fall 2014,University of Hawai`i at Manoa,4,2014
138,CA,3041,Fall 2014,University of Hawai`i at Manoa,1,2014
139,HI,3043,Fall 2014,University of Hawai`i at Manoa,1,2014
140,CA,3047,Fall 2014,University of Hawai`i at Manoa,4,2014
141,CA,3051,Fall 2014,University of Hawai`i at Manoa,2,2014
142,CA,3053,Fall 2014,University of Hawai`i at Manoa,2,2014
143,CO,3055,Fall 2014,University of Hawai`i at Manoa,2,2014
144,CA,3056,Fall 2014,University of Hawai`i at Manoa,1,2014
145,IA,3057,Fall 2014,University of Hawai`i at Manoa,1,2014
146,MA,3058,Fall 2014,University of Hawai`i at Manoa,1,2014
147,CA,3061,Fall 2014,University of Hawai`i at Manoa,3,2014
148,IL,3065,Fall 2014,University of Hawai`i at Manoa,1,2014
149,CA,3069,Fall 2014,University of Hawai`i at Manoa,2,2014
150,WA,3071,Fall 2014,University of Hawai`i at Manoa,1,2014
151,CA,3076,Fall 2014,University of Hawai`i at Manoa,3,2014
152,PA,3080,Fall 2014,University of Hawai`i at Manoa,1,2014
153,CO,3084,Fall 2014,University of Hawai`i at Manoa,1,2014
154,WA,3086,Fall 2014,University of Hawai`i at Manoa,1,2014
155,FL,3087,Fall 2014,University of Hawai`i at Manoa,1,2014
156,HI,3088,Fall 2014,University of Hawai`i at Manoa,4,2014
158,ND,3097,Fall 2014,University of Hawai`i at Manoa,1,2014
159,RI,3100,Fall 2014,University of Hawai`i at Manoa,1,2014
160,HI,3103,Fall 2014,University of Hawai`i at Manoa,4,2014
161,CA,3104,Fall 2014,University of Hawai`i at Manoa,1,2014
162,CO,3107,Fall 2014,University of Hawai`i at Manoa,2,2014
163,CA,3108,Fall 2014,University of Hawai`i at Manoa,2,2014
164,CA,3109,Fall 2014,University of Hawai`i at Manoa,1,2014
165,OR,3112,Fall 2014,University of Hawai`i at Manoa,1,2014
166,NY,3114,Fall 2014,University of Hawai`i at Manoa,1,2014
167,HI,3117,Fall 2014,University of Hawai`i at Manoa,2,2014
168,HI,3118,Fall 2014,University of Hawai`i at Manoa,6,2014
169,CA,3121,Fall 2014,University of Hawai`i at Manoa,1,2014
170,HI,3126,Fall 2014,University of Hawai`i at Manoa,1,2014
171,CA,3130,Fall 2014,University of Hawai`i at Manoa,1,2014
172,CA,3140,Fall 2014,University of Hawai`i at Manoa,1,2014
173,HI,3141,Fall 2014,University of Hawai`i at Manoa,4,2014
174,AZ,3143,Fall 2014,University of Hawai`i at Manoa,2,2014
175,CA,3153,Fall 2014,University of Hawai`i at Manoa,1,2014
176,CA,3163,Fall 2014,University of Hawai`i at Manoa,2,2014
